"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cabo Verde","CPV","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","","2","","","","","","","","2.2","","","","","",
"Costa Rica","CRI","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","1.1","","","","","1.5","","","0.6","1","1","1.1","1","1.1","1.1","1","1.3","1.4","1.2","1.1","1.1","1.1","1.2","1.3","1.4","1.4","1.5","1.5","1.3","1.6","1.5","1.5","1.4","1.5","1.5","1.5","1.6","1.5","","",
"Petits états des Caraïbes","CSS","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Caïmans","CYM","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chypre","CYP","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.8","3.7","3.7","3.7","3.5","3.6","3.4","3.3","3.1","3","3.2","3.4","3.4","","","",
"République tchèque","CZE","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","4.6","","","4","","","","","","4","","3.6","3.8","3.7","3.9","3.9","3.8","3.7","3.7","3.9","3.8","3.8","3.9","4","4.2","","","",
"Allemagne","DEU","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","","3.4","3.4","","","3.6","","3.5","3.5","3.4","3.4","3.4","3.2","3.4","3.4","3.3","3.3","3.4","3.5","","3.3","","3.1","2.9","","","","",
"Djibouti","DJI","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","","","","","","1.3","1.7","","","","1.9","","","",
"Dominique","DMA","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Danemark","DNK","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","","","","","3.8","","","4.5","","","","","4.4","","","4","4","4","4","3.9","3.9","3.5","3.7","3.7","3.7","3.6","3.4","3.7","3.7","3.7","","","",
"République dominicaine","DOM","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","1.7","","","1.6","","","","1.5","1.3","","","1.2","1.5","1.3","1.3","1.4","1.5","1.4","1.6","1.7","1.7","1.8","1.8","1.9","1.9","1.9","1.9","1.8","2.3","2.3","","",
"Algérie","DZA","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","2.9","","","","","","","","","","","","","","","","4","","","","","","","","","",
"Asie de l’Est et Pacifique (hors revenu élevé)","EAP","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"de dividende précoce démographique","EAR","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asie de l’Est et Pacifique","EAS","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe et Asie centrale (hors revenu élevé)","ECA","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe et Asie centrale","ECS","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Équateur","ECU","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","","","","","0.7","0.9","","","1.1","1","1.1","1.3","1.1","1.3","1.4","1.4","1.5","1.5","1.6","1.7","1.6","1.6","1.6","1.6","","",
"Égypte, République arabe d’","EGY","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","","","","","4.2","","","","3.9","","","","","3.9","","","","3.9","","4.1","","4.3","","","3.9","","3.8","","","",
"Zone euro","EMU","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Érythrée","ERI","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Espagne","ESP","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","2.6","","","","","2.7","","","","","2.9","","","","","2.1","","","","","2.7","","","2.6","2.4","2.5","2.3","2.4","2.3","2.1","2.1","1.9","2","1.8","1.8","1.9","1.8","2.1","","","",
"Estonie","EST","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2.5","2.7","2.8","3","2.9","2.8","2.5","2.6","2.6","2.4","2.4","2.7","2.9","3","","","",
"Éthiopie","ETH","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","","3.8","","","","","4.1","","","","","","3.2","","","","","2.9","","","","","",
"Union européenne","EUU","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile et les situations de conflit touchées","FCS","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finlande","FIN","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.6","","","","4.5","","","","4.7","","","","","4","","","3.9","3.9","4","3.8","3.8","3.8","3.8","3.7","3.8","3.9","3.8","3.9","3.8","3.9","3.8","","","",
"Fidji","FJI","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","2.7","","","","","3.1","","","","","","","",
"France","FRA","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","2.5","","","","","","2.2","","","","","2.8","","","","","3.2","","","","","","3.3","","","3.3","3.4","3.5","3.4","3.3","3.2","3","3","3.1","3.1","3.2","3.2","3.1","3.2","3.2","","","",
