index,LOCATION,TIME,PIB,Actifs,Emplois,Chomage,ID_country,Conso_share,Invest_share,Export_share,Labor_prod
1152,CHE,2005-Q2,0.2059105118590083,0.08066442768618948,0.06905058982760406,5.0960650760473,5.0,0.5716805589829231,0.24476604778474859,0.5410382035359387,-0.00047033016854847176
1153,CHE,2005-Q3,0.21790526601979632,0.06905224439947678,0.05806545455757232,5.05099378015987,5.0,0.567385791888246,0.24442928123339633,0.5317634576920429,0.020226252371056574
1154,CHE,2005-Q4,0.22884084944547617,0.07375961240239239,0.06327570870429487,5.00174112072259,5.0,0.5631368345513298,0.2436811454103898,0.5424307723580057,0.004026701883502071
1155,CHE,2006-Q1,0.2425413945903804,0.08870714072217585,0.08101310182047217,4.7430428835987,5.0,0.5566871518826667,0.24269374844121835,0.55041237802202,-0.005456756680649377
1156,CHE,2006-Q2,0.25316700822704397,0.09538937918644162,0.0894224336760356,4.587646943382559,5.0,0.5530052288092185,0.24359690088790661,0.5523678221515544,0.0007661399577969519
1157,CHE,2006-Q3,0.2634990897903866,0.10056684645292363,0.09539309062744583,4.51604720831917,5.0,0.549555944810588,0.24174935343978057,0.5673328934418507,0.0027453664552510304
1158,CHE,2006-Q4,0.28334239447482484,0.10151332077342726,0.09672754759222024,4.481868826899429,5.0,0.5412150867721861,0.24326159012949936,0.5914228532811885,0.014365489410437249
1159,CHE,2007-Q1,0.29439969311570025,0.11061243102189734,0.10719191122835543,4.36052306277956,5.0,0.5386350864429594,0.24463756185286303,0.5954278517789552,-0.0009171011547426389
1160,CHE,2007-Q2,0.3085586700417646,0.10572783282736525,0.10433809764501342,4.18563375500457,5.0,0.5354535058828799,0.24463038354406866,0.6201017739255322,0.013460100786083729
1161,CHE,2007-Q3,0.3192058161685171,0.11279212456509548,0.11242687006293818,4.0965467852189,5.0,0.5330514411433354,0.2428861065582268,0.6450507704225472,0.0008057722134413581
1162,CHE,2007-Q4,0.32750618764170786,0.1201269957337292,0.12102729605255665,3.9879502631099397,5.0,0.532572678767411,0.2417677936697921,0.5918314410397186,-0.001429261272539506
