Pays,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,BEL,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,DNK,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,IRL,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,LUX,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NZL,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,PRT,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,USA,USA,USA,USA,USA,USA,USA,USA,USA
Variables,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100,Actifs,Chomage,Conso,Emplois,Exports,Formation,PIB,income p0p50,income p90p100
2001-04-01,63.4467668666667,6.86963753333334,155.504,59.0882271333333,62.121,55.758,294.306,0.2399,0.3289,58.6223782804354,3.59633632087764,38.6529773,56.5141203981738,28.6595897,17.4017627,70.5912859,0.1977,0.354,51.2136147920497,6.49485984554013,44.505,47.8873622894713,54.208,18.449,83.413,0.1532,0.4179,65.9666666666667,7.1,183.95175,61.2333333333333,133.28525,73.86725,368.1645,0.1454,0.5462,67.8,2.49090053730161,71.197536873,66.1126779478915,62.397617611,32.924758823,130.3640596,0.1722,0.401,,7.75928149010527,365.72738,,185.15575,137.29759,651.08259,0.2481,0.3221,65.2301489260595,4.34087322349761,190.0135,62.3985908576806,179.8122,82.81718,421.5849,0.2039,0.3204,52.1201146400675,10.5495217083519,138.454,46.6216918316957,60.409,52.193,226.389,0.2218,0.3272,61.5906662461192,9.06135567945502,19.714,56.0097169122123,13.699,9.601,40.402,0.1972,0.3774,,,246.584,,117.552,104.914,464.749,0.2581,0.2937,61.7699163942007,4.81911053331068,256.257,58.7931558468306,106.093,72.633,404.118,0.2754,0.2915,51.4279721136404,10.8065142754533,32.426452512,45.8704009656037,10.79431749,10.723931642,49.021955794,0.2251,0.3198,59.7721047034404,3.80146257947993,16.636497037,57.4998905101716,30.613345552,9.024459665,38.555423065,0.2255,0.3184,48.3961901324516,9.54167410768789,252.5464,43.778383389476,101.2871,88.1922,423.3059,0.1534,0.3953,62.0845243665625,4.9,68373.35,59.0334846068932,12288.45,35939.075,121715.35,0.2035,0.2831,,,2.746589,,11.300034,1.436614,7.745945,0.2245,0.3358,64.1794885360074,2.26590531734596,74.67154,62.7252420926246,84.50476,31.75034,148.53171,0.2183,0.3092,73.379494775601,3.52856566871016,232.69,70.7902511150761,303.591,124.546,675.672,0.2092,0.3761,65.8,5.4,21.11,62.2,11.236,7.557,38.455,0.2017,0.4136,61.4410971397923,4.01892032018608,28.396534,58.9718284018959,10.396952,11.254729,45.104121,0.2548,0.2812,62.3884878149202,4.79304411191975,376.998,59.3981800731914,314.082,187.599,848.444,0.2752,0.2971,,,109.636379833235,,37.6998658311418,25.8202221897023,170.685040250912,0.2112,0.3352,66.7666666666667,4.4,8818.079,63.8333333333333,1330.818,2840.427,13299.984,0.2478,0.3089
2001-07-01,63.4023625,6.86726566666667,156.033,59.0483367333333,61.284,57.996,297.867,0.2399,0.3289,58.5347860921124,3.62694018567205,38.5186469,56.4117644127404,28.7573271,17.1248593,70.6962907,0.1977,0.354,51.3720096408642,6.32151082647583,44.301,48.1245224896387,53.98,18.655,83.254,0.1532,0.4179,65.8,7.16666666666667,184.455,61.1,130.522,74.7725,367.91925,0.1454,0.5462,,,71.471612838,,60.961293784,32.364538578,130.155940622,0.1722,0.401,,7.92563925677853,365.8877,,184.97826,135.11657,649.94781,0.2481,0.3221,66.2320071500165,4.57853142449519,188.9302,63.1995538895791,177.4796,82.33614,425.37,0.2039,0.3204,52.4600888011673,10.5084357954683,140.107,46.947354051251,60.234,52.23,228.499,0.2218,0.3272,61.4500252434736,9.12124386895591,19.812,55.8450185834814,13.624,9.596,40.741,0.1972,0.3774,,,247.793,,118.555,105.369,466.28,0.2581,0.2937,61.8731100984587,5.02658133305387,259.855,58.7630078960697,102.719,72.618,407.236,0.2754,0.2915,51.3557534821444,10.6116752639301,33.409603942,45.9060476932747,9.950771557,10.702227318,49.816903818,0.2251,0.3198,60.1317190787269,3.9928492092493,16.594863846,57.7307502089839,31.287018569,8.53117109,38.563540603,0.2255,0.3184,48.6578761410659,9.52806787528203,251.3568,44.0217206756745,98.2442,87.2634,422.3195,0.1534,0.3953,61.8782324019901,5.13333333333333,68338.7,58.704974271012,12018.35,35522.5,120394.425,0.2035,0.2831,,,2.765902,,11.388516,1.5324,7.863055,0.2245,0.3358,64.2141756892212,2.16042196826581,74.96245,62.8268785308904,84.70836,31.41049,148.78984,0.2183,0.3092,73.2661041407792,3.5430498833632,233.568,70.6702495234746,322.643,126.846,683.989,0.2092,0.3761,65.7,5.4,21.371,62.2,11.39,7.493,38.376,0.2017,0.4136,61.5511056587392,4.01432541215024,28.294697,59.080243982821,10.280288,11.286923,45.170127,0.2548,0.2812,62.5313197053694,4.86138086020606,377.993,59.4914340975783,317.001,189.292,851.692,0.2752,0.2971,,,111.966982270069,,36.9607649119364,24.9533927817074,172.8216513003,0.2112,0.3352,66.7,4.83333333333333,8848.3,63.4666666666667,1265.968,2804.819,13244.784,0.2478,0.3089
2001-10-01,63.4579061,6.9794116,157.285,59.0287958666667,59.539,60.286,301.437,0.2399,0.3289,58.8762207579733,3.77395123316276,39.0241737,56.6542608986381,28.7383369,17.1220958,71.0684968,0.1977,0.354,51.3691338493286,7.39170369717612,44.138,47.5720796833804,53.825,17.881,83.171,0.1532,0.4179,66.0333333333334,7.63333333333333,186.73825,61.0333333333333,130.9935,72.75575,370.15925,0.1454,0.5462,,,71.478797939,,62.793485335,31.92942778,129.982687623,0.1722,0.401,,8.15614178596228,365.64725,,186.93063,133.78373,649.26693,0.2481,0.3221,66.5563739300653,4.83880548950563,187.2104,63.3358404547214,179.7376,84.50878,424.5311,0.2039,0.3204,52.7526697085804,10.6199470563965,140.885,47.1503641146934,59.168,52.657,230.08,0.2218,0.3272,61.7016571596791,9.10265353158316,19.92,56.0851690851882,14.413,9.372,40.628,0.1972,0.3774,,,248.32,,116.019,104.818,466.167,0.2581,0.2937,61.9448713848948,5.06763682660678,262.569,58.8057302703997,102.934,70.717,408.833,0.2754,0.2915,51.1971451091473,10.9790876694869,33.257770172,45.5761656633396,10.949214181,10.838257185,49.948868119,0.2251,0.3198,60.0587234610541,4.05519544013446,16.990623991,57.6232248458585,31.847975809,8.757738446,39.47753465,0.2255,0.3184,48.5905041332537,9.22125434397607,251.936,44.1098501601062,96.7225,87.3955,421.8939,0.1534,0.3953,61.8731224868307,5.36666666666667,68226.75,58.5738747553816,11788.0,34521.875,119980.0,0.2035,0.2831,,,2.79381,,11.397668,1.259735,8.039415,0.2245,0.3358,64.4351916063438,2.27507232196582,75.50873,62.9692443965023,83.85452,31.96905,149.26971,0.2183,0.3092,73.4808197773668,3.62300499963369,236.577,70.818606003061,325.18,119.569,689.934,0.2092,0.3761,66.3,5.6,21.513,62.6,11.099,8.047,38.949,0.2017,0.4136,61.7225880649112,4.0484883099358,28.59592,59.2237563025134,10.598375,11.384835,45.802075,0.2548,0.2812,62.5655664858816,4.88897280655449,376.216,59.5067529541201,320.881,195.598,859.058,0.2752,0.2971,,,111.638192897981,,35.3905609650178,23.5260282509006,169.913242174995,0.2112,0.3352,66.7,5.5,8980.61,63.0333333333333,1225.899,2775.367,13280.859,0.2478,0.3089
2002-01-01,63.3228548333333,6.6268704,159.234,59.1263923333333,61.118,61.823,303.715,0.2348,0.3383,58.8849905810551,4.1230191083271,38.7167611,56.4571511674616,29.6156394,17.1756776,71.6120292,0.1982,0.3594,51.5530074109886,7.3498419193838,44.333,47.7639428615928,55.304,17.878,83.886,0.1538,0.4137,66.3666666666666,7.93333333333333,189.5725,61.1666666666667,133.239,72.94025,375.65325,0.1454,0.5462,,,71.493038736,,60.388332326,32.840048897,129.897404279,0.1779,0.388,,8.2924008329534,360.93854,,186.44221,130.42134,645.84366,0.2501,0.3173,65.4296398437195,4.3673575862353,191.2519,62.5720935043584,186.8554,83.03006,424.3886,0.2036,0.3157,53.3952474856964,11.1666243366517,142.032,47.4328007853433,60.183,53.675,231.059,0.2214,0.3271,61.4852638258098,9.06679012902335,19.905,55.9105239944473,13.901,9.286,40.891,0.1957,0.3761,,,249.785,,117.928,103.883,467.856,0.2577,0.2939,61.82942838336,5.07028326212625,264.457,58.6945012249702,105.311,70.584,410.434,0.2754,0.2944,51.3873164732509,10.8014816778699,34.009654604,45.8367248996437,9.834545376,10.52378021,50.356974181,0.2231,0.3179,60.1431048075449,4.3525297803892,17.099678556,57.5253582599458,34.486845723,9.087965666,40.033839333,0.2188,0.3197,48.7781289124441,8.95101826166305,252.1648,44.4119896857937,96.3261,90.4999,421.9758,0.1681,0.3807,61.5939369563753,5.26666666666667,68618.05,58.3302774721917,12325.6,34409.125,120179.375,0.1995,0.2913,,,2.860629,,11.77349,1.479309,8.141888,0.2298,0.3392,64.5624619460274,2.47099758349361,75.454171687,62.967125071497,84.187943269,31.148535303,148.358896126,0.2211,0.3045,73.66248935628,3.83781280104033,237.816,70.8354609101998,313.062,123.551,682.842,0.215,0.3611,66.7,5.3,21.411,63.1,11.509,8.307,39.423,0.1977,0.4234,61.7966976858946,4.20616103312756,28.923952,59.1974290680708,10.608797,11.328822,45.883515,0.2532,0.2806,62.4521046259093,4.94837203708322,383.602,59.3617421440309,323.824,181.848,857.821,0.2749,0.2983,,,112.196185722083,,37.7726971595821,29.7841331351311,176.331855168279,0.2123,0.3356,66.6333333333334,5.7,9008.096,62.8333333333333,1252.821,2766.594,13397.002,0.2488,0.2984
2002-04-01,63.1335309333333,6.4049761,161.709,59.0897670666667,61.661,65.223,308.796,0.2348,0.3383,58.8104863617627,3.80359589982074,38.9285134,56.573573113842,29.9398456,16.9185715,72.0856108,0.1982,0.3594,51.5370914999936,7.27134294042408,44.529,47.7896528355089,56.184,17.63,84.604,0.1538,0.4137,66.7333333333333,7.7,192.003,61.5666666666667,133.02575,73.92375,377.86725,0.1454,0.5462,67.7,2.92338956491933,71.40146628,65.7409096184776,62.126133205,32.909068119,130.129271137,0.1779,0.388,,8.53354674344854,358.57421,,192.1931,128.43724,648.56716,0.2501,0.3173,65.697673048117,4.45306726677338,189.6502,62.7721114745795,186.6371,80.10917,424.3465,0.2036,0.3157,53.7999949799102,11.3741994778264,142.922,47.6806762318346,60.176,53.665,232.942,0.2214,0.3271,61.4993832370432,9.17971239928185,20.277,55.8539167285505,14.593,9.394,41.353,0.1957,0.3761,,,250.973,,120.688,103.363,470.133,0.2577,0.2939,62.0003919908463,5.16098757092551,266.035,58.8005594662736,107.96,70.429,412.445,0.2754,0.2944,51.7239104344047,10.3566836243121,34.310737712,46.3670286725908,10.136471183,10.509209225,51.484117752,0.2231,0.3179,60.0808360475823,4.36736075947127,17.137411057,57.4568891900779,33.076574068,9.083299289,40.291543912,0.2188,0.3197,48.8149238868158,9.18919721126631,251.2805,44.3292242623268,96.1482,88.7906,423.6195,0.1681,0.3807,61.1980461112507,5.4,69184.075,57.8960229702486,13229.15,33906.575,121154.025,0.1995,0.2913,,,2.887347,,11.662295,1.308514,8.282601,0.2298,0.3392,64.8973522426806,2.62449014306743,75.550321687,63.1941276299597,84.797613269,30.677305303,148.875576126,0.2211,0.3045,73.6641646742,3.80692545929819,236.878,70.8598248348385,315.682,120.88,697.029,0.215,0.3611,66.7,5.3,21.986,63.2,11.982,8.013,39.772,0.1977,0.4234,62.0319576425016,4.70008789115963,28.803733,59.1164011126971,10.77204,10.937431,45.670622,0.2532,0.2806,62.2769056933586,4.98027477507709,384.803,59.1753446684137,326.597,191.207,871.224,0.2749,0.2983,,,115.926994166511,,38.4391438552405,30.8035703558042,183.943070600503,0.2123,0.3356,66.6666666666667,5.83333333333333,9054.348,62.7666666666667,1287.83,2767.098,13478.152,0.2488,0.2984
2002-07-01,63.3185985666667,6.27991496666667,163.826,59.3421070666667,61.41,66.233,309.875,0.2348,0.3383,58.972781080721,3.92842091002392,39.1047652,56.6560820175233,29.8846706,16.6980339,72.3492803,0.1982,0.3594,51.9178881922991,7.45506771436902,44.769,48.0473744716928,56.575,17.374,85.057,0.1538,0.4137,67.0333333333333,7.5,192.41,62.0,136.04,75.08075,381.1375,0.1454,0.5462,,,71.5607271,,62.391421552,32.871653989,130.449986597,0.1779,0.388,,8.83683890603115,361.21905,,195.56554,127.61936,651.89582,0.2501,0.3173,65.5373989898017,4.74373358277094,192.059,62.4284793846479,187.3976,78.98442,425.7895,0.2036,0.3157,54.1228443084632,11.6853371271403,143.655,47.798407488222,61.072,54.532,234.378,0.2214,0.3271,61.367372782876,9.12922480829822,20.373,55.7650073625808,14.484,9.341,41.139,0.1957,0.3761,,,252.863,,121.481,104.228,471.873,0.2577,0.2939,62.0053059196664,5.15222685302905,267.002,58.8106518977705,108.14,74.238,415.187,0.2754,0.2944,51.9271758555636,10.2664611934575,34.396516334,46.5960924974937,10.425142431,10.455776651,51.781204231,0.2231,0.3179,59.9113888116892,4.44255629946789,17.527511657,57.2497916339368,33.298615495,9.692368529,41.649907136,0.2188,0.3197,48.9398423819484,9.08056605161969,251.8945,44.495827668897,96.0461,90.6636,424.5646,0.1681,0.3807,61.1936750090996,5.43333333333333,69246.375,57.8830134561987,13321.45,34176.25,121542.375,0.1995,0.2913,,,2.875193,,11.644348,1.418086,8.175167,0.2298,0.3392,65.0897696693085,2.86904005651205,75.725381687,63.2223181048046,85.546853269,30.393205303,149.106726126,0.2211,0.3045,73.2530844456897,3.64525162911568,241.199,70.5828251915557,316.582,125.948,686.685,0.215,0.3611,66.5,5.5,22.202,62.8,12.075,8.455,40.397,0.1977,0.4234,62.214062273634,5.09899634475847,28.858652,59.0417695123757,10.708122,10.472891,45.46346,0.2532,0.2806,62.3150118381338,5.15384089157152,385.247,59.1033952764324,317.827,188.452,876.266,0.2749,0.2983,,,119.825845035796,,40.6552944167874,31.5537957064366,186.456593857066,0.2123,0.3356,66.6,5.73333333333333,9119.949,62.8,1294.531,2772.502,13538.072,0.2488,0.2984
2002-10-01,63.5422236666667,6.15740993333333,164.417,59.6296209333333,61.969,70.046,312.152,0.2348,0.3383,59.1239749523494,3.95332480130804,39.3816976,56.786612187039,29.7231259,16.4792553,71.9397831,0.1982,0.3594,51.9635610656645,7.97449642183068,44.967,47.8197287478272,56.599,17.736,85.375,0.1538,0.4137,67.2,7.53333333333333,194.31575,62.1333333333333,134.13,75.284,383.2285,0.1454,0.5462,,,71.377857151,,61.460750835,32.543036433,129.835215136,0.1779,0.388,,9.15105122597664,363.70359,,198.68946,126.84691,650.98804,0.2501,0.3173,65.411858627962,4.78256949437655,192.2547,62.2834910315163,190.1554,79.34626,424.3843,0.2036,0.3157,54.2921558403,11.5643950616981,145.07,48.0135964514149,62.546,55.258,236.161,0.2214,0.3271,61.202176963659,8.98333998609296,20.444,55.7041773281232,15.031,9.276,41.421,0.1957,0.3761,,,254.242,,121.11,104.681,471.936,0.2577,0.2939,62.1218465285539,5.14722219289802,269.49,58.9242970573981,104.245,78.748,418.465,0.2754,0.2944,52.0674560950014,9.99288222154258,35.230035025,46.8644165316745,9.504824586,11.180687103,52.180447913,0.2231,0.3179,59.9924891527796,4.62312706220037,17.52882403,57.2189601514699,32.295434591,9.371295228,41.92728041,0.2188,0.3197,48.8611707882102,8.80469035991947,253.4828,44.5590959940768,97.6993,93.5488,426.1917,0.1681,0.3807,61.0865266794217,5.33333333333333,69076.1,57.8348534301315,13781.85,33985.75,121874.8,0.1995,0.2913,,,2.874287,,11.496609,1.469758,8.162478,0.2298,0.3392,64.9952287689024,3.05633160771458,76.093431687,63.008759048532,85.904533269,29.242055303,149.329866126,0.2211,0.3045,72.8341978944171,3.7616180656206,245.274,70.0944535484709,317.761,125.302,694.439,0.215,0.3611,66.2,5.1,22.556,62.9,12.411,8.722,41.308,0.1977,0.4234,61.9547694110958,5.96815830413454,28.607491,58.25721069568,10.905517,10.237869,45.124102,0.2532,0.2806,62.3407819796679,5.20304738591303,388.022,59.097161552517,324.929,189.699,877.821,0.2749,0.2983,,,118.776487570543,,41.8584958015055,34.1445791798557,190.434897544054,0.2123,0.3356,66.4333333333333,5.86666666666667,9172.361,62.5333333333333,1273.374,2771.043,13559.032,0.2488,0.2984
2003-01-01,63.8839725666667,6.05595843333333,165.229,60.0152583,62.092,70.519,312.462,0.2292,0.3532,59.4417416702341,4.145479364027,39.5172654,56.9775965356763,29.6812375,17.3763187,72.5409607,0.194,0.372,51.4639915980843,8.11239558637053,44.884,47.2890290151112,56.238,17.655,85.15,0.1511,0.4146,67.4,7.4,195.189,62.4,131.9715,75.961,385.349,0.1496,0.5394,,,71.484101085,,59.58970193,32.0606888,128.877881429,0.1814,0.3788,,9.52878905576483,361.74003,,193.00943,126.57049,641.24756,0.2509,0.3111,65.3482717259523,4.98263972756604,191.4173,62.0922027776572,187.0248,83.36093,426.6586,0.2043,0.3152,54.6537107201226,11.647657635712,144.532,48.2878336102303,62.378,56.082,238.359,0.2201,0.3304,61.2630663126712,8.9705678150785,20.698,55.7674214034966,13.948,9.463,41.192,0.1944,0.377,56.4935692645026,7.93573884654977,254.741,52.010387142577,118.633,105.071,472.71,0.2672,0.2887,61.9981311365911,5.03933365387408,271.346,58.8738384494519,110.621,78.105,421.58,0.2678,0.3038,52.2203041773258,9.86873912670524,35.419821468,47.0668185868936,9.616377086,11.949087949,53.266820096,0.2199,0.3195,60.0222243000028,4.68826850222386,17.754259019,57.2082212638116,32.032194327,9.277248838,41.466760262,0.2217,0.3128,49.0708828960625,8.78930843007909,252.9379,44.7578916489646,95.9206,90.7261,424.4596,0.177,0.3649,61.0041922696372,5.33333333333333,69361.5,57.7177525075455,13966.075,33745.975,121947.375,0.201,0.2924,,,2.900003,,11.473168,1.415231,8.084191,0.2231,0.3483,64.7821799449562,3.26404469006864,75.850181687,62.6676606403521,86.930663269,29.574215303,149.355766126,0.2237,0.3049,72.6813840623879,3.83837426758318,243.894,69.8916005192139,311.708,128.523,694.605,0.2191,0.3548,66.1,5.0,22.971,62.8,12.175,8.685,41.56,0.1956,0.4304,62.1098711737506,6.11434751907261,28.663773,58.3122578065392,11.331059,9.989345,45.17151,0.2512,0.2822,62.226216898726,5.31741693264261,388.399,58.9173895048102,331.105,196.841,888.039,0.2694,0.3066,,,123.520882331641,,40.659921081479,33.6165216354833,190.594102450251,0.2117,0.3366,66.3666666666667,5.86666666666667,9215.501,62.4666666666667,1274.663,2791.343,13634.253,0.2389,0.3169
2003-04-01,63.5302699,6.051594,166.36,59.6856721,59.345,69.361,313.509,0.2292,0.3532,59.6060405914306,4.32762283134047,39.6703914,57.0265159699378,29.5194886,17.3583994,72.6237257,0.194,0.372,51.7103357311759,8.06293704591589,44.826,47.5409639149395,56.687,17.701,85.332,0.1511,0.4146,67.5,7.66666666666667,196.83675,62.3,129.31725,76.71675,384.78075,0.1496,0.5394,67.8,4.11555491035784,71.499715453,65.0525279054498,60.391052751,31.772248417,128.964800489,0.1814,0.3788,,9.72453589516122,361.90033,,192.29945,125.90409,642.00406,0.2509,0.3111,65.551151059148,5.60062900759418,192.3601,61.8798742781174,182.5672,77.7784,422.6906,0.2043,0.3152,54.9512838685263,11.4872338664741,145.945,48.6389013779186,63.051,57.347,239.601,0.2201,0.3304,61.1175440446238,9.23221650987564,20.986,55.4750400529055,14.541,9.441,41.768,0.1944,0.377,56.2962798026295,8.09661589582605,254.272,51.7381862633711,117.659,105.14,471.653,0.2672,0.2887,62.0725871665971,4.91530853630801,274.89,59.0215279908901,107.391,73.812,425.428,0.2678,0.3038,52.1685201079776,9.73114891655454,35.878758163,47.0919237287076,9.820479306,11.831197452,54.210267975,0.2199,0.3195,60.1983605312237,4.69937792544777,17.851481784,57.3694120649379,32.141370195,9.184758558,41.618901519,0.2217,0.3128,49.2232018666303,8.90453925489048,253.5775,44.8401025339022,92.812,90.7575,424.1651,0.177,0.3649,61.0508204869472,5.43333333333333,69238.95,57.7356307842182,13998.9,34112.2,122786.8,0.201,0.2924,,,2.914495,,11.73571,1.49971,8.301933,0.2231,0.3483,64.7209590229035,3.57753886651559,75.690471687,62.4055415590775,86.092583269,29.632615303,148.839996126,0.2237,0.3049,72.3950202545517,4.00661068493387,245.244,69.4944336376728,322.353,124.242,691.297,0.2191,0.3548,66.1,4.8,23.208,63.0,12.039,9.184,41.631,0.1956,0.4304,62.0131494451021,6.38073389829934,28.514317,58.0562553970555,11.539598,10.047224,44.770043,0.2512,0.2822,62.3073709398169,5.49086275603843,389.068,58.8861587146158,333.404,191.165,883.007,0.2694,0.3066,,,124.284865651478,,39.7391070255713,34.9593656155451,191.235121843521,0.2117,0.3366,66.4333333333333,6.13333333333333,9318.994,62.3333333333333,1272.771,2845.772,13751.543,0.2389,0.3169
2003-07-01,63.3896886333333,5.90656516666667,168.533,59.6455977,60.059,71.766,318.795,0.2292,0.3532,59.4167769213585,4.23664297620016,39.8818805,56.8995002152353,30.4493165,17.4130261,72.8022309,0.194,0.372,51.6549787021534,8.15093059528798,44.913,47.4446172391301,57.091,17.698,85.681,0.1511,0.4146,67.6,7.76666666666667,198.55875,62.3666666666667,130.8955,79.1295,386.2185,0.1496,0.5394,,,71.786294628,,61.033987852,32.504594245,130.248405276,0.1814,0.3788,,9.7779463902863,363.34295,,198.29882,126.28272,646.92163,0.2509,0.3111,65.6646175287098,5.428266885384,194.266,62.1001668399848,185.2142,80.6399,424.1424,0.2043,0.3152,55.3476881512515,11.4694069243716,147.432,48.9996365739523,63.216,58.307,241.181,0.2201,0.3304,60.7454755689533,8.97002199814394,21.336,55.296593047541,14.432,9.721,42.406,0.1944,0.377,56.2382158963674,8.01926539678281,256.633,51.728324109222,118.79,106.738,474.891,0.2672,0.2887,62.1186620430781,5.0068761229829,277.05,59.0084575853268,107.563,74.785,430.274,0.2678,0.3038,52.2749030794939,9.7130234179473,36.300917193,47.1974295016734,9.939755869,12.494489999,54.550339066,0.2199,0.3195,60.2921014527898,4.88354760761251,17.903178667,57.3477079747127,33.334326432,9.949988775,42.450120416,0.2217,0.3128,49.2769460118943,8.70220740954287,254.5563,44.9887639648508,95.0065,89.3709,423.927,0.177,0.3649,60.7676184264005,5.16666666666667,69217.825,57.6411909613454,14498.925,33679.125,123158.3,0.201,0.2924,,,2.976159,,11.916288,1.42976,8.336184,0.2231,0.3483,64.8023579162556,3.81558306067952,75.435381687,62.329770124682,86.395203269,29.785795303,148.972036126,0.2237,0.3049,72.4807731952835,4.18112471553071,248.881,69.4502616732078,308.616,127.24,701.01,0.2191,0.3548,66.5,4.5,23.525,63.5,12.378,9.371,42.223,0.1956,0.4304,61.9049557420344,6.20113214244676,28.821502,58.0661476337477,11.078325,9.969267,45.167319,0.2512,0.2822,62.1742605585038,5.75351874994699,393.673,58.5970528196294,340.521,191.111,895.62,0.2694,0.3066,,,125.617546955122,,46.0405814014206,38.8142329265168,196.68764135709,0.2117,0.3366,66.1333333333334,6.13333333333333,9455.687,62.0666666666667,1308.173,2931.913,13985.073,0.2389,0.3169
