,Unnamed: 0,Dates,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,Pays,numero
2567,48,2001-Q4,859.073,4326.570171920171,4548.96797941252,4.888972806554491,376.37,195.31599999999997,320.62,Sweden,22
2568,49,2002-Q1,858.209,4328.07596705813,4553.394886352371,4.94837203708322,383.685,182.235,323.586,Sweden,22
2569,50,2002-Q2,871.194,4324.19606002212,4550.84041738307,4.980274775077089,384.81699999999995,191.16,326.392,Sweden,22
2570,51,2002-Q3,875.6089999999999,4317.67005641558,4552.28772256302,5.1538408915715195,385.13300000000004,188.382,317.504,Sweden,22
2571,52,2002-Q4,877.966,4325.65791650417,4563.076973701551,5.20304738591303,388.17199999999997,189.622,324.675,Sweden,22
2572,53,2003-Q1,887.377,4323.10803310373,4565.89574666364,5.31741693264261,388.25,196.894,330.69,Sweden,22
2573,54,2003-Q2,883.817,4327.6674898107,4579.09956223541,5.49086275603843,389.369,191.30599999999998,333.20300000000003,Sweden,22
2574,55,2003-Q3,895.314,4305.77278595304,4568.62975555453,5.75351874994699,393.626,191.078,340.24699999999996,Sweden,22
2575,56,2003-Q4,901.8489999999999,4301.05169113252,4582.474935546429,6.14129369766757,395.93800000000005,191.976,346.52099999999996,Sweden,22
2576,57,2004-Q1,916.3489999999999,4294.0085293516795,4589.441955925229,6.43724072361624,400.915,195.483,359.402,Sweden,22
2577,58,2004-Q2,922.158,4284.01918719208,4582.31632040245,6.50974555995233,398.93300000000005,199.363,376.494,Sweden,22
2578,59,2004-Q3,928.312,4291.04629585052,4597.59210105146,6.6675294037248305,403.293,204.44099999999997,375.366,Sweden,22
2579,60,2004-Q4,936.686,4291.12598760571,4588.64962262085,6.4839039692294405,406.403,208.325,378.905,Sweden,22
2580,61,2005-Q1,940.462,4294.81091859893,4588.59543037969,6.40249322996979,409.04,207.93599999999998,380.213,Sweden,22
2581,62,2005-Q2,946.6110000000001,4331.90491790303,4715.20259359721,8.128975756305081,412.08099999999996,210.074,392.506,Sweden,22
2582,63,2005-Q3,957.5360000000001,4340.97827449488,4705.97594303647,7.756046205074299,417.939,216.361,405.42400000000004,Sweden,22
2583,64,2005-Q4,964.735,4378.0058890031705,4739.32603298663,7.623871864239839,420.978,213.47799999999998,407.539,Sweden,22
